id,event_id,time_schedule,before_final,final,players_checked,next_unused_num
1,18,'9:00-9:20',0,0,0,0
2,2,'9:20-10:20',0,0,0,0
3,4,'10:20-11:00',0,0,0,0
4,20,'11:00-11:40',0,0,0,0
5,12,'11:40-11:55',0,0,0,0
6,4,'11:55-12:05',0,0,0,0
7,21,'12:05-12:15',0,0,0,1
8,24,'13:00-13:30',0,0,0,0
9,23,'13:30-13:55',0,0,0,0
10,1,'13:55-14:55',0,0,0,0
11,3,'14:55-15:20',0,0,0,0
12,18,'15:20-15:40',0,1,0,1
13,25,'15:40-15:44',0,1,0,0
14,12,'15:44-15:48',0,1,0,0
15,20,'15:48-15:52',1,0,0,0
16,4,'15:52-15:56',1,0,0,0
17,2,'15:56-16:00',1,0,0,0
18,22,'16:00-16:04',1,0,0,0
19,21,'16:04-16:08',1,0,0,0
20,3,'16:08-16:12',1,0,0,0
21,1,'16:12-16:16',1,0,0,0
22,0,'',0,0,0,0
