id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,6
7,1,7,7
8,1,8,8
9,1,9,17
10,1,10,18
11,1,11,19
12,1,12,20
13,1,13,25
14,1,14,26
15,1,15,29
16,2,1,1
17,2,2,2
18,2,3,3
19,2,4,4
20,2,5,5
21,2,6,6
22,2,7,7
23,2,8,15
24,2,9,16
25,2,10,17
26,2,11,18
27,2,12,23
28,2,13,24
29,2,14,27
30,3,1,1
31,3,2,2
32,3,3,3
33,3,4,4
34,3,5,5
35,3,6,6
36,3,7,7
37,3,8,8
38,4,1,1
39,4,2,2
40,4,3,3
41,4,4,4
42,4,5,5
43,4,6,6
44,4,7,7
45,5,1,1
46,5,2,2
47,5,3,3
48,5,4,4
49,5,5,5
50,5,6,6
51,5,7,7
52,5,8,8
53,5,9,9
54,5,10,10
55,6,1,8
56,6,2,9
57,6,3,10
58,6,4,11
59,7,1,9
60,7,2,10
61,7,3,11
62,7,4,12
63,8,1,12
64,9,1,32
65,9,2,33
66,10,1,36
67,10,2,37
