id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,6
7,1,7,7
8,1,8,8
9,1,9,9
10,1,10,18
11,1,11,19
12,1,12,20
13,1,13,21
14,1,14,26
15,1,15,27
16,1,16,30
17,2,1,1
18,2,2,2
19,2,3,3
20,2,4,6
21,2,5,7
22,2,6,8
23,2,7,9
24,2,8,10
25,2,9,11
26,2,10,12
27,2,11,13
28,2,12,22
29,2,13,23
30,2,14,24
31,2,15,25
32,2,16,30
33,2,17,31
34,2,18,34
35,3,1,1
36,3,2,2
37,4,1,2
38,4,2,3
39,4,3,8
40,4,4,11
41,5,1,7
42,5,2,8
43,5,3,9
44,5,4,10
45,6,1,8
46,6,2,9
47,6,3,10
48,6,4,11
49,7,1,11
50,8,1,31
51,8,2,32
52,9,1,29
53,9,2,30
