id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,25,5,,5,,,
2,14,27,,18,,,
3,22,6,19,,,,
4,32,1,,19,,,
5,18,,18,,,,
6,11,24,20,,,,
7,30,33,,20,,,
8,3,9,21,,,,
9,8,19,,21,,,
10,21,16,,22,,,
11,28,15,22,,,,
12,26,20,,23,,,
13,7,23,23,,,,
14,4,31,,24,,,
15,10,12,24,,,,
16,2,13,,25,,,
17,17,29,25,,,,
18,,,26,,,,
19,,,,26,,,
20,,,27,,,,
21,,,,27,,,
22,,,,28,,,
23,,,28,,,,
24,,,,29,,,
25,,,29,,,,
26,,,30,,,,
27,,,,30,,,
28,,,,31,,,
29,,,31,,,,
30,,,33,,,,
31,,,,33,,,
32,,,,,,,
33,,,,,,,
