id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,14,26,17,,,,
2,7,6,,17,,,
3,12,24,18,,,,
4,27,32,,18,,,
5,18,1,19,,,,
6,29,3,,19,,,
7,20,9,20,,,,
8,30,15,,20,,,
9,16,11,,21,,,
10,31,2,21,,,,
11,19,4,,22,,,
12,5,22,22,,,,
13,8,13,,23,,,
14,25,10,23,,,,
15,21,23,,24,,,
16,17,28,24,,,,
17,,,25,,,,
18,,,,25,,,
19,,,26,,,,
20,,,,26,,,
21,,,,27,,,
22,,,27,,,,
23,,,,28,,,
24,,,28,,,,
25,,,29,,,,
26,,,,29,,,
27,,,,30,,,
28,,,30,,,,
29,,,32,,,,
30,,,,32,,,
31,,,,,,,
32,,,,,,,
