id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,12,27,,7,,,
2,35,10,,10,,,
3,9,7,13,,,,
4,37,2,15,,,,
5,23,19,,21,,,
6,22,11,,22,,,
7,5,,22,,,,
8,30,18,23,,,,
9,3,15,,23,,,
10,1,,24,,,,
11,28,21,,24,,,
12,32,25,25,,,,
13,,36,,25,,,
14,29,16,26,,,,
15,,13,,26,,,
16,31,33,,27,,,
17,20,34,27,,,,
18,4,17,,28,,,
19,24,26,28,,,,
20,8,6,,29,,,
21,14,,29,,,,
22,,,30,,,,
23,,,,30,,,
24,,,31,,,,
25,,,,31,,,
26,,,,32,,,
27,,,32,,,,
28,,,,33,,,
29,,,33,,,,
30,,,34,,,,
31,,,,34,,,
32,,,,35,,,
33,,,35,,,,
34,,,37,,,,
35,,,,37,,,
36,,,,,,,
37,,,,,,,
