id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,26,23,,15,,,
2,28,3,16,,,,
3,22,5,,16,,,
4,11,6,17,,,,
5,2,17,,17,,,
6,8,24,18,,,,
7,19,13,,18,,,
8,29,16,,19,,,
9,25,9,19,,,,
10,14,19,,20,,,
11,12,27,20,,,,
12,20,30,,21,,,
13,18,1,21,,,,
14,7,4,,22,,,
15,15,,23,,,,
16,,,,23,,,
17,,,24,,,,
18,,,,24,,,
19,,,,25,,,
20,,,25,,,,
21,,,,26,,,
22,10,,26,,,,
23,,,27,,,,
24,,,,27,,,
25,,,,28,,,
26,,,28,,,,
27,,,30,,,,
28,,,,30,,,
29,,,,,,,
30,,,,,,,
