"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
15,10,12,24,,4,0,1
6,11,24,20,,3,0,0
16,2,13,,25,2,0,0
7,30,33,,20,0,0,0
17,17,29,25,,3,0,0
8,3,9,21,,3,0,0
22,28,16,,28,0,,
9,8,19,,21,0,0,0
23,7,20,28,,0,,
18,18,27,26,,1,,
19,22,1,,26,1,,
24,10,31,,29,0,,
20,11,33,27,,0,,
25,17,2,29,,2,,
1,25,5,,5,3,0,0
10,21,16,,22,0,0,0
2,14,27,,18,1,0,0
11,28,15,22,,3,0,0
3,22,6,19,,2,0,0
21,3,19,,27,0,,
12,26,20,,23,0,0,0
4,32,1,,19,0,0,0
13,7,23,23,,2,0,0
5,18,25,18,,3,0,
28,20,16,,31,3,,
26,27,1,30,,3,,
29,17,31,31,,2,,
27,33,19,,30,0,,
31,17,20,,33,0,,
30,27,19,33,,0,,
32,27,17,,,0,0,0
33,19,20,,,3,0,0
14,4,31,,24,0,0,0
