"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
16,17,28,24,,3,0,0
7,20,9,20,,2,0,0
21,31,11,,27,0,,
8,30,15,,20,0,0,0
22,5,19,27,,3,,
17,14,6,25,,3,,
23,25,13,,28,3,,
18,24,32,,25,1,,
24,17,21,28,,3,,
19,18,3,26,,2,,
27,5,11,,30,3,,
20,20,15,,26,0,,
28,17,25,30,,3,,
25,14,32,29,,3,,
30,17,5,,32,3,,
1,14,26,17,,3,0,0
9,16,11,,21,0,0,0
10,31,2,21,,3,0,0
2,7,6,,17,0,0,0
11,19,4,,22,4,0,1
26,18,15,,29,0,,
12,5,22,22,,3,0,0
3,12,24,18,,1,0,0
13,8,13,,23,0,0,0
29,14,15,32,,3,,
4,27,32,,18,0,0,0
14,25,10,23,,3,0,0
5,18,1,19,,3,0,0
15,21,23,,24,3,0,0
6,29,3,,19,0,0,0
31,15,5,,,1,0,0
32,14,17,,,3,0,0
