"id","group_id","round","main_score","sub1_score","sub2_score","sub3_score","sub4_score","sub5_score","elapsed_time","penalty","start_penalty","retire"
5,6,1,17.2,7.8,6.1,7.8,7.2,7.3,29.57,,,0
4,1,1,16.9,8.2,6.2,7.2,7.9,6,29.21,,,0
6,2,1,17.5,7.8,7.6,7.5,7.8,7.5,26.84,-1,,0
3,5,1,14.9,8.1,6.7,5.7,7.6,8,28.29,,,0
7,8,1,16.4,8.4,8.1,8.3,8.1,7.9,27.64,,,0
8,7,1,17.8,8.2,8.7,7.9,7.7,7,27,,,0
2,3,1,15.3,7.4,6,6.4,8,5.9,29.38,-1,,0
1,4,1,14.5,7.4,7,7.6,7.4,5,31.38,,0,0
9,6,2,16.5,7.2,6.8,7.2,8.2,7.1,29.14,,,0
10,2,2,16.7,7.4,7.1,6.8,7,6.9,27.16,-1,,0
11,8,2,17.3,7.7,8.1,6.7,8.9,8.2,27.68,,,0
12,7,2,17.8,7.3,8.8,6.7,8.4,7.5,27.38,-1,,0
