"id","group_id","round","main_score","sub1_score","sub2_score","sub3_score","sub4_score","sub5_score","elapsed_time","penalty","start_penalty","retire"
1,7,1,,,,,,,,,,1
2,6,1,16.8,6.9,5.3,7.3,6.4,7.1,24.22,,,0
7,3,1,17.8,7.9,7,7.8,7.6,7.7,28.74,,,0
3,4,1,13.9,6,5.6,6.6,6,6.5,27.88,,,0
6,2,1,16.7,6.3,7.9,7.7,6.2,8.3,27.71,,,0
4,1,1,16.1,7,6.3,7.8,6.9,6.9,27.96,,,0
5,5,1,16.6,6.9,7.3,7.9,7,7.9,27.68,,,0
8,1,2,16.8,7.4,6,7.4,7,7.2,26.67,,,0
9,2,2,17.1,7.1,6.8,7.1,6.7,7.4,27.47,,,0
10,5,2,17.9,7.6,7.5,7.4,7.3,8,27.33,,,0
11,3,2,18.1,8,6.6,7.3,8.2,6.5,28.89,,,0
