"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
8,30,18,23,,0,0,0
18,4,17,,28,0,0,0
9,3,15,,23,0,0,0
19,24,26,28,,1,0,0
10,1,35,24,,1,0,
11,28,21,,24,-1,1,0
20,8,6,,29,0,0,0
12,32,25,25,,0,0,0
21,14,19,29,,1,0,
13,7,36,,25,0,,0
26,16,13,,32,0,,
22,5,22,30,,1,,
27,20,33,32,,1,,
23,18,15,,30,0,,
28,24,17,,33,1,,
4,37,2,15,,1,0,0
24,1,21,31,,1,,
1,12,27,,7,0,0,0
5,23,19,,21,0,0,0
2,35,10,,10,1,0,0
14,29,16,26,,0,0,0
25,25,36,,31,0,,
3,9,7,13,,0,0,0
15,37,13,,26,0,,0
6,22,11,,22,1,0,0
16,31,33,,27,0,0,0
29,14,6,33,,1,,
7,5,27,22,,1,0,
17,20,34,27,,1,0,0
30,5,15,34,,1,,
32,20,13,,35,0,,
31,1,36,,34,0,,
33,14,24,35,,0,,
34,5,36,37,,1,,
35,24,13,,37,0,,
36,36,24,,,-1,1,0
37,5,13,,,2,0,0
