"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
12,20,30,,21,0,0,0
16,3,5,,23,1,,
13,18,1,21,,1,0,0
14,7,4,,22,2,0,1
17,11,2,24,,1,,
18,8,13,,24,0,,
23,15,3,27,,1,,
19,25,16,,25,0,,
1,26,23,,15,0,0,0
24,11,13,,27,0,,
20,12,14,25,,0,,
21,18,30,,26,1,,
27,15,13,30,,1,,
22,10,7,26,,1,0,
25,14,16,,28,0,,
3,22,5,,16,0,0,0
26,10,18,28,,1,,
8,29,16,,19,0,0,0
4,11,6,17,,1,0,0
28,10,16,,30,1,,
5,2,17,,17,2,0,1
2,28,3,16,,-1,1,0
9,25,9,19,,1,0,0
6,8,24,18,,1,0,0
7,19,13,,18,0,0,0
10,14,21,,20,1,0,0
11,12,27,20,,1,0,0
15,15,23,23,,1,0,
29,13,16,,,1,0,0
30,15,10,,,0,0,0
