id,schedule_id,order_id,game_id
1,1,1,8
2,1,2,9
3,1,3,10
4,1,4,11
5,1,5,23
6,1,6,24
7,1,7,25
8,1,8,26
9,1,9,35
10,1,10,36
11,1,11,41
12,2,1,1
13,2,2,2
14,2,3,3
15,2,4,4
16,2,5,5
17,2,6,6
18,2,7,7
19,3,1,43
20,3,2,44
21,4,1,2
22,4,2,3
23,4,3,12
24,4,4,13
25,4,5,14
26,4,6,15
27,4,7,26
28,4,8,27
29,4,9,33
30,5,1,1
31,5,2,2
32,5,3,3
33,5,4,4
34,5,5,5
35,5,6,6
36,6,1,4
37,7,1,2
38,8,1,6
39,9,1,45
40,9,2,46
41,10,1,8
42,10,2,9
43,10,3,10
44,10,4,11
45,11,1,24
46,11,2,25
47,11,3,26
48,11,4,27
49,11,5,28
50,11,6,29
51,12,1,38
52,12,2,39
53,13,1,8
54,14,1,9
