id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,12,27,,15,,,
2,16,6,,17,,,
3,15,44,18,,,,
4,40,7,,19,,,
5,37,26,20,,,,
6,41,4,,21,,,
7,39,29,22,,,,
8,43,8,23,,,,
9,3,35,,24,,,
10,22,21,25,,,,
11,11,17,,26,,,
12,18,42,27,,,,
13,36,24,,28,,,
14,38,30,,30,,,
15,2,,31,,,,
16,31,28,,31,,,
17,19,,32,,,,
18,,34,,32,,,
19,9,,33,,,,
20,,23,,33,,,
21,33,,34,,,,
22,,13,,34,,,
23,,5,,35,,,
24,45,,35,,,,
25,,25,,36,,,
26,46,,36,,,,
27,,32,,37,,,
28,1,,37,,,,
29,20,10,,38,,,
30,14,,38,,,,
31,,,39,,,,
32,,,,39,,,
33,,,40,,,,
34,,,,40,,,
35,,,,41,,,
36,,,41,,,,
37,,,,42,,,
38,,,42,,,,
39,,,43,,,,
40,,,,43,,,
41,,,,44,,,
42,,,44,,,,
43,,,46,,,,
44,,,,46,,,
45,,,,,,,
46,,,,,,,
