id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,23,11,,7,,,
2,21,32,,10,,,
3,16,28,13,,,,
4,9,5,15,,,,
5,12,34,,21,,,
6,29,30,,22,,,
7,24,,22,,,,
8,18,15,23,,,,
9,20,7,,23,,,
10,3,,24,,,,
11,14,4,,24,,,
12,8,35,25,,,,
13,,37,,25,,,
14,33,22,26,,,,
15,,36,,26,,,
16,17,13,,27,,,
17,25,2,27,,,,
18,26,31,,28,,,
19,19,27,28,,,,
20,10,1,,29,,,
21,6,,29,,,,
22,,,30,,,,
23,,,,30,,,
24,,,31,,,,
25,,,,31,,,
26,,,,32,,,
27,,,32,,,,
28,,,,33,,,
29,,,33,,,,
30,,,34,,,,
31,,,,34,,,
32,,,,35,,,
33,,,35,,,,
34,,,37,,,,
35,,,,37,,,
36,,,,,,,
37,,,,,,,
