"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
14,26,16,,30,3,0,0
7,41,40,,23,3,0,0
40,19,3,44,,3,,
2,43,38,18,,0,0,0
11,44,8,27,,3,0,0
38,10,47,43,,2,,
42,33,13,,45,3,,
15,46,32,31,,0,0,0
34,34,9,,41,3,,
8,1,22,24,,3,0,0
41,18,34,45,,3,,
3,12,34,,19,0,0,0
43,10,20,,46,0,,
44,19,37,46,,3,,
4,2,35,20,,-1,1,0
12,25,39,,28,3,0,0
46,19,20,,48,2,0,0
16,42,5,,32,0,0,0
21,33,45,35,,3,0,
45,18,33,48,,0,0,0
17,18,28,33,,3,0,
25,31,15,,37,0,,0
29,24,37,,39,0,,0
47,18,20,,,2,0,0
48,33,19,,,3,0,0
5,45,7,,21,3,0,0
9,31,36,25,,2,0,0
6,21,17,22,,3,0,0
13,24,29,29,,2,0,0
1,28,14,,17,3,0,0
10,11,20,,26,0,0,0
22,21,23,,35,1,,0
18,38,30,,33,3,,0
26,27,20,37,,0,0,
23,13,41,36,,2,0,
30,6,26,39,,0,0,
19,4,34,34,,0,0,
31,32,3,,40,1,,0
27,44,47,,38,1,,0
24,1,48,,36,3,,0
20,35,9,,34,0,,0
28,10,25,38,,2,0,
32,19,5,40,,3,0,
35,33,23,42,,3,,
33,18,38,41,,3,,
39,26,37,,44,0,,
37,20,15,,43,3,,
36,13,1,,42,3,,
