"id","group_id","round","main_score","sub1_score","sub2_score","sub3_score","sub4_score","sub5_score","elapsed_time","penalty","start_penalty","retire"
1,6,1,14.3,6.9,7.1,6.8,6.9,6.4,27.96,-1,,0
2,1,1,16.2,7.3,7.3,6.6,7.1,8.3,26.89,-2,,0
3,2,1,16.7,6.8,7.5,6.1,7.5,7,30.65,-1,,0
4,4,1,17.3,7.1,7.9,7.4,7.2,7.3,29.07,,,0
5,5,1,17.5,7.7,8,8,7.4,8.5,27.81,-1,,0
6,3,1,16.6,7,8.3,7.2,7.8,8.5,29.52,,,0
7,1,2,14.2,6.9,6.9,7.3,6.1,7.8,26.87,0,,0
8,4,2,14.8,7.9,6.3,6.3,6.6,6.5,29.96,0,,0
9,3,2,16.7,7.3,7.6,8.1,8.4,8,29.58,0,,0
10,5,2,18,8.5,8.4,8,8.7,8.1,27.15,0,,0
