"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
7,4,3,,23,0,0,0
36,20,24,39,,0,0,0
16,10,27,,28,0,,0
11,12,20,,25,0,0,0
37,31,27,,39,1,0,0
3,30,13,15,,0,0,0
24,14,29,32,,1,,
20,8,15,,30,0,,0
17,11,26,28,,1,0,0
25,9,20,,32,0,,
38,20,27,,,1,0,0
39,24,31,,,1,0,0
12,38,18,26,,1,0,
21,19,25,30,,0,0,0
18,16,2,,29,0,0,0
32,14,20,36,,0,,
13,17,23,,26,1,0,0
22,22,31,,31,0,0,0
1,7,33,,9,0,0,0
19,6,5,29,,1,0,
23,37,3,31,,0,0,
28,11,27,,34,0,,
8,29,32,,24,1,0,0
4,21,10,16,,0,0,0
10,9,1,25,,1,0,0
5,5,35,,19,1,0,0
9,14,33,24,,1,0,
14,34,28,27,,1,0,0
6,8,39,20,,1,0,0
2,18,36,,12,1,0,0
30,25,15,,35,0,,
15,13,24,,27,0,,0
29,6,2,34,,0,,
31,3,31,35,,0,,
35,31,15,37,,1,,
34,2,27,,37,0,,
26,38,17,33,,0,,
27,34,24,,33,0,,
33,17,24,,36,0,,
