"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
10,3,32,24,,1,0,
33,10,26,35,,0,,
5,12,34,,21,0,0,0
15,9,36,,26,0,,0
11,14,4,,24,1,0,0
8,18,15,23,,0,0,0
34,24,14,37,,1,0,0
12,8,35,25,,1,0,0
18,26,31,,28,1,0,0
16,17,13,,27,0,0,0
35,26,36,,37,0,0,0
13,16,37,,25,0,,0
19,19,27,28,,1,0,0
17,25,2,27,,1,0,0
36,14,26,,,0,0,0
37,24,36,,,1,0,0
24,3,14,31,,0,,
20,10,1,,29,1,0,0
26,33,36,,32,0,,
25,8,37,,31,1,,
1,23,11,,7,1,0,0
2,21,32,,10,0,0,0
6,29,30,,22,0,0,0
3,16,28,13,,1,0,0
4,9,5,15,,1,0,0
14,33,22,26,,1,0,0
7,24,23,22,,1,0,
27,25,13,32,,1,,
21,6,34,29,,0,0,
31,14,8,,34,1,,
9,20,7,,23,0,0,0
22,24,30,30,,1,,
23,15,7,,30,0,,
30,24,7,34,,1,,
28,19,26,,33,0,,
32,25,36,,35,0,,
29,34,10,33,,0,,
