id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,22
7,1,7,23
8,1,8,24
9,1,9,25
10,1,10,38
11,1,11,39
12,2,1,4
13,2,2,5
14,2,3,6
15,2,4,7
16,2,5,18
17,2,6,19
18,3,1,1
19,3,2,3
20,3,3,4
21,3,4,5
22,3,5,6
23,3,6,19
24,3,7,20
25,4,1,4
26,4,2,5
27,4,3,12
28,4,4,13
29,5,1,3
30,5,2,4
31,5,3,10
32,5,4,13
33,6,1,27
34,6,2,28
35,6,3,29
36,6,4,30
37,6,5,31
38,6,6,32
39,7,1,1
40,7,2,2
41,7,3,3
42,7,4,19
43,7,5,20
44,7,6,21
45,7,7,22
46,7,8,51
47,7,9,52
48,7,10,67
49,8,1,10
50,8,2,11
51,8,3,35
52,8,4,36
53,8,5,37
54,8,6,38
55,8,7,59
56,8,8,60
57,8,9,71
58,9,1,1
59,9,2,2
60,9,3,3
61,9,4,13
62,9,5,14
63,9,6,21
64,10,1,1
65,10,2,8
66,10,3,9
67,10,4,16
68,11,1,75
69,11,2,76
70,11,3,79
71,12,1,1
72,12,2,2
73,12,3,3
74,12,4,4
75,13,1,53
76,14,1,31
77,15,1,16
78,16,1,25
79,17,1,8
80,18,1,34
81,19,1,9
82,20,1,4
83,21,1,28
84,22,1,23
85,23,1,82
