id,schedule_id,order_id,game_id
1,1,1,6
2,1,2,7
3,1,3,8
4,1,4,9
5,1,5,10
6,1,6,11
7,1,7,26
8,1,8,27
9,1,9,28
10,1,10,29
11,1,11,40
12,1,12,41
13,2,1,1
14,2,2,2
15,2,3,3
16,2,4,16
17,2,5,17
18,3,1,7
19,3,2,8
20,3,3,9
21,3,4,10
22,3,5,21
23,3,6,22
24,4,1,1
25,4,2,2
26,4,3,3
27,4,4,10
28,4,5,11
29,5,1,7
30,5,2,8
31,5,3,12
32,5,4,14
33,6,1,24
34,6,2,25
35,6,3,26
36,6,4,27
37,6,5,28
38,6,6,29
39,7,1,4
40,7,2,5
41,7,3,23
42,7,4,24
43,7,5,25
44,7,6,26
45,7,7,53
46,7,8,54
47,7,9,68
48,8,1,12
49,8,2,13
50,8,3,39
51,8,4,40
52,8,5,41
53,8,6,42
54,8,7,61
55,8,8,62
56,8,9,72
57,9,1,4
58,9,2,5
59,9,3,6
60,9,4,15
61,9,5,16
62,9,6,22
63,10,1,2
64,10,2,3
65,10,3,10
66,10,4,11
67,10,5,17
68,11,1,77
69,11,2,78
70,11,3,80
71,12,1,1
72,12,2,2
73,12,3,3
74,12,4,4
75,12,5,5
76,12,6,6
77,12,7,7
78,13,1,52
79,14,1,30
80,15,1,15
81,16,1,24
82,17,1,7
83,18,1,33
84,19,1,8
85,20,1,3
86,21,1,27
87,22,1,22
88,23,1,81
