id,schedule_id,order_id,game_id
1,1,1,12
2,1,2,13
3,1,3,14
4,1,4,15
5,1,5,16
6,1,6,30
7,1,7,31
8,1,8,32
9,1,9,33
10,1,10,42
11,1,11,43
12,2,1,8
13,2,2,9
14,2,3,10
15,2,4,11
16,2,5,20
17,2,6,21
18,3,1,11
19,3,2,12
20,3,3,13
21,3,4,14
22,3,5,23
23,3,6,24
24,4,1,6
25,4,2,7
26,4,3,14
27,4,4,15
28,5,1,1
29,5,2,2
30,5,3,9
31,6,1,18
32,6,2,19
33,6,3,20
34,6,4,21
35,6,5,22
36,6,6,23
37,7,1,6
38,7,2,7
39,7,3,27
40,7,4,28
41,7,5,29
42,7,6,30
43,7,7,55
44,7,8,56
45,7,9,69
46,8,1,14
47,8,2,15
48,8,3,43
49,8,4,44
50,8,5,45
51,8,6,46
52,8,7,63
53,8,8,64
54,8,9,73
55,9,1,7
56,9,2,8
57,9,3,9
58,9,4,17
59,9,5,18
60,9,6,23
61,10,1,4
62,10,2,5
63,10,3,12
64,10,4,13
65,10,5,18
66,11,1,25
67,11,2,26
68,12,1,1
69,12,2,2
70,12,3,5
71,13,1,1
72,13,2,2
73,13,3,3
74,13,4,6
