id,schedule_id,order_id,game_id
1,1,1,17
2,1,2,18
3,1,3,19
4,1,4,20
5,1,5,21
6,1,6,34
7,1,7,35
8,1,8,36
9,1,9,37
10,1,10,44
11,1,11,45
12,2,1,12
13,2,2,13
14,2,3,14
15,2,4,15
16,2,5,22
17,2,6,23
18,3,1,2
19,3,2,15
20,3,3,16
21,3,4,17
22,3,5,18
23,3,6,25
24,3,7,26
25,4,1,8
26,4,2,9
27,4,3,16
28,4,4,17
29,5,1,5
30,5,2,6
31,5,3,11
32,6,1,46
33,6,2,47
34,6,3,48
35,6,4,49
36,6,5,50
37,6,6,51
38,7,1,8
39,7,2,9
40,7,3,31
41,7,4,32
42,7,5,33
43,7,6,34
44,7,7,57
45,7,8,58
46,7,9,70
47,8,1,16
48,8,2,17
49,8,3,18
50,8,4,47
51,8,5,48
52,8,6,49
53,8,7,50
54,8,8,65
55,8,9,66
56,8,10,74
57,9,1,10
58,9,2,11
59,9,3,12
60,9,4,19
61,9,5,20
62,9,6,24
63,10,1,6
64,10,2,7
65,10,3,14
66,10,4,15
67,10,5,19
68,11,1,1
69,11,2,2
70,12,1,20
71,12,2,21
72,13,1,3
73,13,2,4
74,13,3,6
75,14,1,4
76,14,2,5
77,14,3,7
