id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,1,24,,4,,,
2,34,28,,18,,,
3,4,17,,19,,,
4,7,,19,,,,
5,27,6,20,,,,
6,30,19,,20,,,
7,8,20,21,,,,
8,26,18,,21,,,
9,11,2,22,,,,
10,32,25,,22,,,
11,3,12,,23,,,
12,31,10,23,,,,
13,15,5,,24,,,
14,29,21,24,,,,
15,16,23,,25,,,
16,33,13,25,,,,
17,14,9,,26,,,
18,22,,26,,,,
19,,,27,,,,
20,,,,27,,,
21,,,28,,,,
22,,,,28,,,
23,,,,29,,,
24,,,29,,,,
25,,,,30,,,
26,,,30,,,,
27,,,31,,,,
28,,,,31,,,
29,,,,32,,,
30,,,32,,,,
31,,,34,,,,
32,,,,34,,,
33,,,,,,,
34,,,,,,,
