id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,21,12,,22,,,
2,40,8,23,,,,
3,31,52,,23,,,
4,24,16,,24,,,
5,37,42,25,,,,
6,1,11,,26,,,
7,3,22,27,,,,
8,18,46,,27,,,
9,32,49,28,,,,
10,43,5,,28,,,
11,13,39,29,,,,
12,19,6,30,,,,
13,50,48,,31,,,
14,15,28,31,,,,
15,10,41,32,,,,
16,38,36,,33,,,
17,20,34,34,,,,
18,23,7,,35,,,
19,4,29,,36,,,
20,2,45,36,,,,
21,14,53,,37,,,
22,35,,38,,,,
23,,,,38,,,
24,47,,39,,,,
25,,17,,39,,,
26,33,,40,,,,
27,,,,40,,,
28,,,41,,,,
29,,30,,41,,,
30,,26,,42,,,
31,,,42,,,,
32,,44,,43,,,
33,9,,43,,,,
34,,25,,44,,,
35,51,,44,,,,
36,,,,45,,,
37,27,,45,,,,
38,,,46,,,,
39,,,,46,,,
40,,,47,,,,
41,,,,47,,,
42,,,,48,,,
43,,,48,,,,
44,,,,49,,,
45,,,49,,,,
46,,,50,,,,
47,,,,50,,,
48,,,,51,,,
49,,,51,,,,
50,,,53,,,,
51,,,,53,,,
52,,,,,,,
53,,,,,,,
