id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,10,15,,16,,,
2,27,9,17,,,,
3,19,25,,17,,,
4,24,12,18,,,,
5,28,5,,18,,,
6,8,2,19,,,,
7,21,17,,19,,,
8,13,29,,20,,,
9,30,16,20,,,,
10,26,18,,21,,,
11,14,6,21,,,,
12,23,11,,22,,,
13,4,22,22,,,,
14,1,3,,23,,,
15,31,20,23,,,,
16,7,,24,,,,
17,,,,24,,,
18,,,25,,,,
19,,,,25,,,
20,,,,26,,,
21,,,26,,,,
22,,,,27,,,
23,,,27,,,,
24,,,28,,,,
25,,,,28,,,
26,,,,29,,,
27,,,29,,,,
28,,,31,,,,
29,,,,31,,,
30,,,,,,,
31,,,,,,,
