id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,59,39,,19,,,
2,73,82,,21,,,
3,22,49,22,,,,
4,68,61,,23,,,
5,41,63,26,,,,
6,62,21,,27,,,
7,40,25,30,,,,
8,56,26,,31,,,
9,70,1,34,,,,
10,11,43,35,,,,
11,78,60,,38,,,
12,67,34,39,,,,
13,48,19,,42,,,
14,29,10,43,,,,
15,18,76,,46,,,
16,53,46,47,,,,
17,32,64,,48,,,
18,3,35,,50,,,
19,6,,51,,,,
20,20,9,,51,,,
21,13,,52,,,,
22,,54,,52,,,
23,80,,53,,,,
24,24,51,,53,,,
25,16,2,54,,,,
26,,65,,54,,,
27,55,,55,,,,
28,75,47,,55,,,
29,71,36,56,,,,
30,,79,,56,,,
31,37,,57,,,,
32,33,27,,57,,,
33,15,12,58,,,,
34,,42,,58,,,
35,,72,,59,,,
36,14,5,59,,,,
37,44,52,,60,,,
38,30,,60,,,,
39,,23,,61,,,
40,4,8,61,,,,
41,17,58,,62,,,
42,81,,62,,,,
43,,38,,63,,,
44,7,77,63,,,,
45,31,45,,64,,,
46,66,,64,,,,
47,,74,,65,,,
48,50,,65,,,,
49,28,69,,66,,,
50,57,,66,,,,
51,,,67,,,,
52,,,,67,,,
53,,,68,,,,
54,,,,68,,,
55,,,69,,,,
56,,,,69,,,
57,,,70,,,,
58,,,,70,,,
59,,,,71,,,
60,,,71,,,,
61,,,,72,,,
62,,,72,,,,
63,,,,73,,,
64,,,73,,,,
65,,,,74,,,
66,,,74,,,,
67,,,75,,,,
68,,,,75,,,
69,,,76,,,,
70,,,,76,,,
71,,,,77,,,
72,,,77,,,,
73,,,,78,,,
74,,,78,,,,
75,,,79,,,,
76,,,,79,,,
77,,,,80,,,
78,,,80,,,,
79,,,82,,,,
80,,,,82,,,
81,,,,,,,
82,,,,,,,
