"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
6,30,19,,20,3,0,0
17,14,9,,26,0,0,0
10,32,25,,22,0,0,0
14,29,21,24,,3,0,0
19,7,4,27,,2,,
18,22,34,26,,1,0,
25,13,16,,30,3,,
21,8,18,28,,3,,
23,10,3,,29,0,,
20,6,30,,27,3,,
26,34,9,30,,0,,
22,11,25,,28,3,,
1,1,24,,4,3,0,0
24,29,15,29,,3,,
3,4,17,,19,3,0,0
7,8,20,21,,3,0,0
2,34,28,,18,3,0,0
4,7,1,19,,3,0,
11,3,12,,23,3,0,0
15,16,23,,25,2,0,0
27,7,6,31,,1,0,0
12,31,10,23,,-1,1,0
8,26,18,,21,0,0,0
5,27,6,20,,0,0,0
16,33,13,25,,0,0,0
9,11,2,22,,3,0,0
13,15,5,,24,3,0,0
28,8,11,,31,3,0,0
29,29,3,,32,1,0,0
30,9,13,32,,2,0,0
31,6,8,34,,1,,
32,9,3,,34,3,,
34,8,9,,,1,0,0
33,6,3,,,3,0,0
