"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
13,50,48,,31,3,0,0
39,24,37,,46,1,,
18,23,7,,35,3,0,0
53,33,25,,,2,0,0
3,31,52,,23,3,0,0
42,28,26,,48,1,,
7,3,22,27,,3,0,0
52,35,26,,,3,0,0
4,24,16,,24,4,0,1
29,13,30,,41,0,,0
43,9,41,48,,3,,
37,27,14,45,,3,0,
5,37,42,25,,4,0,1
8,18,46,,27,4,0,1
40,33,3,47,,3,,
14,15,28,31,,0,0,0
44,23,25,,49,0,,
15,10,41,32,,-1,1,0
41,49,30,,47,2,,
45,27,29,49,,3,,
19,4,29,,36,0,0,0
22,35,12,38,,3,0,
9,32,49,28,,0,0,0
16,38,36,,33,3,0,0
20,2,45,36,,0,0,0
23,40,31,,38,0,,
10,43,5,,28,0,0,0
1,21,12,,22,-1,1,0
17,20,34,34,,0,0,0
12,19,6,30,,1,0,0
6,1,11,,26,2,0,0
2,40,8,23,,3,0,0
30,6,26,,42,1,,0
46,35,37,50,,3,0,0
21,14,53,,37,2,0,0
11,13,39,29,,2,0,0
24,47,24,39,,0,0,
34,34,25,,44,0,,0
47,33,49,,50,3,0,0
31,28,50,42,,3,,
25,37,17,,39,2,,0
26,33,1,40,,3,0,
35,51,23,44,,0,0,
32,41,44,,43,2,,0
48,9,26,,51,0,0,0
27,3,18,,40,3,,
38,35,31,46,,3,,
36,45,29,,45,0,,
33,9,38,43,,2,0,
28,49,5,41,,3,,
49,27,25,51,,0,0,0
50,35,33,53,,1,,
51,25,26,,53,3,,
