"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
11,25,10,,18,3,,
18,20,25,22,,3,0,0
19,16,15,,22,0,0,0
20,14,3,,23,1,0,0
21,18,1,23,,2,0,0
22,20,15,25,,0,,
23,18,3,,25,3,,
4,16,6,,12,3,0,0
8,9,12,16,,1,0,0
1,19,17,,10,1,0,0
6,4,3,14,,0,0,0
24,20,3,,,1,0,0
5,23,5,13,,3,0,0
25,15,18,,,1,0,0
9,21,8,,17,3,0,0
2,25,2,11,,3,0,0
7,14,22,,15,3,0,0
12,13,16,19,,0,0,
16,12,1,,21,0,,0
3,7,10,,11,0,0,0
14,3,24,,20,2,,0
13,23,15,,19,0,,0
17,18,21,21,,3,0,
10,20,17,18,,3,0,
15,11,14,20,,0,0,
