"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
3,20,25,,17,3,0,0
19,24,31,,25,0,,
14,1,26,,23,3,0,0
15,7,2,23,,-1,1,0
11,3,14,21,,3,0,0
16,22,15,24,,3,0,
22,4,19,,27,0,,
20,16,13,,26,1,,
17,9,20,,24,1,,
23,2,1,27,,2,,
21,3,21,26,,1,,
4,18,12,18,,-2,1,1
5,28,5,,18,1,0,0
24,22,20,28,,3,0,0
6,8,24,19,,0,0,0
8,13,17,,20,2,0,0
25,5,31,,28,1,0,0
1,10,15,,16,-1,1,0
12,11,19,,22,-1,1,0
7,29,31,,19,0,0,0
18,,5,25,,-1,,
9,30,16,20,,0,0,0
13,4,23,22,,3,0,0
2,27,9,17,,0,0,0
10,6,21,,21,1,0,0
26,21,13,,29,0,0,0
27,2,19,29,,0,0,0
28,22,31,31,,3,,
29,19,13,,31,1,,
30,31,19,,,1,0,0
31,22,13,,,2,0,0
