"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
19,6,20,51,,1,0,
47,53,74,,65,0,,0
27,1,21,55,,1,0,
61,8,34,,72,0,,
79,6,1,82,,1,,
25,16,2,54,,1,0,0
22,49,54,,52,0,,0
20,39,81,,51,0,0,0
63,7,59,,73,0,,
33,65,12,58,,0,0,0
28,75,47,,55,0,0,0
54,16,15,,68,0,,
26,41,15,,54,0,,0
29,71,36,56,,-1,1,0
37,44,52,,60,0,0,0
51,6,81,67,,1,,
55,1,47,69,,1,,
62,9,17,72,,1,,
56,36,79,,69,1,,
81,1,59,,,1,0,0
48,50,32,65,,1,0,
82,6,72,,,1,0,0
49,28,69,,66,1,0,0
52,73,54,,67,1,,
21,13,73,52,,0,0,
34,70,42,,58,0,,0
64,76,45,73,,0,,
30,40,79,,56,0,,0
38,30,78,60,,0,0,
58,12,42,,70,0,,
72,9,34,77,,0,,
68,24,15,,75,1,,
8,56,26,,31,0,0,0
50,57,35,66,,1,0,
4,68,61,,23,1,0,0
1,38,20,,19,0,0,0
69,1,36,76,,1,,
6,62,21,,27,0,0,0
73,45,59,,78,0,,
9,70,55,34,,1,0,0
67,6,73,75,,1,,
5,41,63,26,,1,0,0
2,73,82,,21,1,0,0
70,37,42,,76,1,,
3,22,49,22,,-1,1,0
7,40,25,30,,1,0,0
23,80,68,53,,0,0,
59,5,72,,71,0,,
24,24,51,,53,2,0,1
14,29,10,43,,-1,1,0
31,37,26,57,,1,0,
32,33,27,,57,-1,1,0
65,50,74,,74,0,,
53,68,24,68,,0,,
66,57,28,74,,1,,
12,67,34,39,,0,0,0
15,18,76,,46,0,0,0
60,78,52,71,,0,,
10,11,43,35,,0,0,0
16,53,46,47,,1,0,0
13,48,19,,42,1,0,0
74,57,74,78,,1,,
43,10,59,,63,0,,0
39,34,23,,61,2,,1
71,52,72,,77,0,,
57,37,27,70,,1,,
77,34,72,,80,0,0,0
78,57,59,80,,0,0,0
11,78,60,,38,1,0,0
17,32,64,,48,1,0,0
44,7,77,63,,1,0,0
40,4,8,61,,0,0,0
45,31,45,,64,0,0,0
35,43,72,,59,0,,0
80,59,72,,82,0,,
41,17,58,,62,1,0,0
18,3,35,,50,0,0,0
46,66,76,64,,0,0,
42,9,48,62,,1,0,
36,14,5,59,,0,0,0
75,6,24,79,,1,0,0
76,1,37,,79,1,0,0
