"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
18,8,7,,21,0,,
17,16,11,,20,0,,
14,5,9,,19,0,,0
15,12,22,19,,0,0,
1,1,4,,8,2,0,1
8,15,1,16,,1,0,
9,20,17,,16,0,0,0
19,22,9,21,,0,,
16,15,17,20,,1,,
20,15,11,23,,0,0,0
21,9,7,,23,1,0,0
2,23,2,,10,0,0,0
4,14,13,12,,1,0,0
3,21,10,11,,1,0,0
22,15,7,,,1,0,0
5,8,18,,13,1,0,0
23,11,9,,,0,0,0
10,16,2,17,,1,0,
12,14,7,,18,0,,0
11,21,11,,17,0,,0
6,5,19,14,,1,0,0
13,6,8,18,,0,0,
7,22,3,,15,2,0,1
