"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
2,28,15,14,,0,0,0
22,23,13,,25,0,,
23,21,4,,26,0,,
19,11,14,,24,0,,
3,26,9,,14,1,0,0
20,6,24,24,,0,0,
24,24,14,26,,0,,
13,19,17,21,,1,0,
14,15,26,,21,1,,
21,19,15,25,,1,,
7,22,16,17,,2,0,1
4,25,10,15,,0,0,0
8,3,12,,18,0,0,0
25,19,13,28,,0,0,0
5,8,23,,15,0,0,0
9,21,27,18,,1,0,0
6,2,20,16,,0,0,0
26,14,4,,28,1,0,0
10,1,14,,19,0,0,0
17,22,4,,23,0,,0
15,10,23,22,,0,,
11,5,11,19,,0,0,0
16,20,13,,22,0,,0
1,7,17,,13,0,0,0
18,21,12,23,,1,,
12,24,18,,20,1,0,0
27,19,4,,,1,0,0
28,13,14,,,1,0,0
