id,group_id,name,name_kana,mvp,hokei_newcommer_player_id,hokei_newcommer_rank_group,hokei_newcommer_rank_lastyear,hokei_newcommer_rank_total,hokei_newcommer_comment,hokei_kyuui_player_id,hokei_kyuui_rank_group,hokei_kyuui_rank_lastyear,hokei_kyuui_rank_total,hokei_kyuui_comment,hokei_man_player_id,hokei_man_rank_group,hokei_man_rank_lastyear,hokei_man_rank_total,hokei_man_comment,hokei_woman_player_id,hokei_woman_rank_group,hokei_woman_rank_lastyear,hokei_woman_rank_total,hokei_woman_comment,hokei_mei_kyuui_newcommer_player_id,hokei_mei_kyuui_newcommer_rank_group,hokei_mei_kyuui_newcommer_rank_lastyear,hokei_mei_kyuui_newcommer_rank_total,hokei_mei_kyuui_newcommer_comment,hokei_mei_player_id,hokei_mei_rank_group,hokei_mei_rank_lastyear,hokei_mei_rank_total,hokei_mei_comment,hokei_sei_player_id,hokei_sei_rank_group,hokei_sei_rank_lastyear,hokei_sei_rank_total,hokei_sei_comment,zissen_man_player_id,zissen_man_rank_group,zissen_man_rank_lastyear,zissen_man_rank_total,zissen_man_comment,zissen_sonen_man_player_id,zissen_sonen_man_rank_group,zissen_sonen_man_rank_lastyear,zissen_sonen_man_rank_total,zissen_sonen_man_comment,zissen_woman_player_id,zissen_woman_rank_group,zissen_woman_rank_lastyear,zissen_woman_rank_total,zissen_woman_comment,zissen_sonen_woman_player_id,zissen_sonen_woman_rank_group,zissen_sonen_woman_rank_lastyear,zissen_sonen_woman_rank_total,zissen_sonen_woman_comment
1,1,湊宏司,ミナトコウジ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,
2,1,中村健志郎,ナカムラケンシロウ,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
3,1,上田歩生,ウエダアユキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
4,1,野田理世,ノダリセ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
5,1,長濱顯東,ナガハマケント,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,,,,,,,
6,1,野波柾希,ノナミマサキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
7,1,鈴木皓介,スズキコウスケ,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,
8,4,岩間巧,イワマタクミ,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,佐々木尚希,ササキナオキ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,
10,4,蜂谷拓巳,ハチヤタクミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
11,8,貴島啓文,キジマヒロフミ,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
12,7,遠藤秀香,エンドウヒデカ,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,10,山本芳江,ヤマモトヨシエ,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10,平田梢,ヒラタコズエ,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10,飯島徹,イイジマトオル,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10,坂本巧,サカモトタクミ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,9,,,,,,,,,,,,,,,,,,,
17,10,坂本郁恵,サカモトイクエ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,2,,,,,,,,,
18,10,渡辺伸一郎,ワタナベシンイチロウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,1,,,,,,,,,,,,,,
19,10,中井秀一,ナカイシュウイチ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,2,,,,,,,,,,,,,,
20,10,関口基則,セキグチモトノリ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,10,,,,,,,,,,,,,,,,,,,
21,10,二ノ宮健,ニノミヤケン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,3,,,,,,,,,,,,,,
22,10,清水貴治,シミズタカハル,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,
23,10,小野田昇太,オノダショウタ,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,
24,10,谷津更咲,ヤヅサラサ,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
25,10,井澤遼祐,イザワリョウスケ,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,11,山田大輔,ヤマダダイスケ,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
27,11,小矢島皓平,コヤジマコウヘイ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,13,,,,,,,,,,,,,,,,,,,
28,11,栗山拓也,クリヤマタクヤ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,
29,11,榎本至,エノモトイタル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,5,,,,,,,,,,,,,,
30,11,早川香織,ハヤカワカオリ,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,11,福井順,フクイジュン,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,11,今本健太,イマモトケンタ,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,11,川上智子,カワカミトモコ,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11,大橋沙也香,オオハシサヤカ,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,11,髙橋泰彦,タカハシヤスヒコ,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,11,原田祐梨,ハラダユリ,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,11,林元,ハヤシゲン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,
38,11,虞嶔崟,グチンイン,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,16,,,,,,,,,,,,,,,,,,,
39,11,日名地亮太,ヒナジリョウタ,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,
40,11,壷井達矢,ツボイタツヤ,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,
41,11,千倉佳吾,チクラケイゴ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,19,,,,,,,,,,,,,,,,,,,
42,11,三宅幸太郎,ミヤケコウタロウ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,
43,11,小林将也,コバヤシマサヤ,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,
44,11,大島悠太郎,オオシマユウタロウ,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,
45,11,赤井慧,アカイサトシ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,
46,11,小畠将幸,コバタマサユキ,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,
