id,schedule_id,order_id,game_id
1,1,1,1
2,1,2,2
3,1,3,3
4,1,4,4
5,1,5,5
6,1,6,10
7,1,7,11
8,1,8,14
9,2,1,1
10,2,2,2
11,2,3,3
12,2,4,4
13,2,5,5
14,2,6,6
15,2,7,7
16,2,8,8
17,2,9,9
18,2,10,10
19,2,11,11
20,2,12,12
21,2,13,13
22,3,1,1
23,3,2,2
24,3,3,3
25,3,4,4
26,3,5,5
27,3,6,6
28,3,7,7
29,3,8,8
30,3,9,9
31,4,1,4
32,4,2,5
33,4,3,6
34,4,4,11
35,4,5,12
36,4,6,13
37,4,7,14
38,4,8,17
39,4,9,18
40,4,10,20
41,5,1,1
42,5,2,2
43,5,3,3
44,5,4,4
45,5,5,5
46,5,6,6
47,5,7,7
48,5,8,8
49,5,9,9
50,5,10,10
51,5,11,11
52,5,12,12
53,5,13,13
54,5,14,14
55,6,1,1
56,6,2,2
57,6,3,9
58,7,1,13
59,8,1,13
60,9,1,10
61,10,1,27
62,11,1,16
63,12,1,26
64,13,1,36
65,14,1,17
66,15,1,31
67,16,1,22
68,17,1,26
