id,event_id,time_schedule,before_final,final,players_checked,next_unused_num
1,34,'9:20-9:43',0,0,0,0
2,35,'9:46-10:24',0,0,0,0
3,18,'10:27-11:12',0,0,0,0
4,29,'11:15-11:59',0,0,0,1
5,1,'13:00-13:38',0,0,0,0
6,7,'13:48-14:33',0,0,0,0
7,7,'14:36-14:51',0,0,0,1
8,20,'15:00-15:04',1,0,0,0
9,4,'15:04-15:08',1,0,0,0
10,2,'15:08-15:12',1,0,0,1
11,7,'15:50-15:55',1,0,0,0
12,27,'15:58-16:02',1,0,0,0
13,30,'16:02-16:06',1,0,0,0
14,34,'16:06-16:10',1,0,0,0
15,29,'16:12-16:16',1,0,0,0
16,33,'16:16-16:20',1,0,0,0
17,1,'16:20-16:24',1,0,0,0
18,0,'',0,0,0,0
