id,schedule_id,order_id,game_id
1,1,1,6
2,1,2,7
3,1,3,8
4,1,4,9
5,1,5,12
6,1,6,13
7,1,7,15
8,2,1,1
9,2,2,2
10,2,3,3
11,2,4,4
12,2,5,5
13,2,6,10
14,2,7,11
15,2,8,12
16,2,9,13
17,2,10,18
18,2,11,19
19,2,12,22
20,3,1,10
21,3,2,11
22,3,3,12
23,3,4,13
24,3,5,14
25,3,6,15
26,3,7,16
27,3,8,17
28,3,9,18
29,4,1,1
30,4,2,2
31,4,3,3
32,4,4,4
33,4,5,5
34,4,6,6
35,4,7,7
36,4,8,16
37,4,9,17
38,4,10,18
39,4,11,19
40,4,12,24
41,4,13,25
42,4,14,28
43,5,1,1
44,5,2,2
45,5,3,3
46,5,4,4
47,5,5,5
48,5,6,11
49,5,7,12
50,5,8,13
51,5,9,14
52,5,10,19
53,5,11,20
54,5,12,23
55,6,1,3
56,6,2,4
57,6,3,10
58,7,1,14
59,8,1,12
60,9,1,9
61,10,1,26
62,11,1,15
63,12,1,25
64,13,1,35
65,14,1,16
66,15,1,30
67,16,1,21
68,17,1,25
