id,schedule_id,order_id,game_id
1,1,1,6
2,1,2,7
3,1,3,8
4,1,4,9
5,1,5,14
6,1,6,15
7,1,7,16
8,1,8,17
9,1,9,20
10,1,10,21
11,1,11,23
12,2,1,3
13,2,2,4
14,2,3,13
15,2,4,14
16,2,5,15
17,2,6,16
18,2,7,17
19,2,8,18
20,2,9,19
21,2,10,20
22,2,11,25
23,2,12,26
24,2,13,27
25,2,14,28
26,2,15,31
27,2,16,32
28,2,17,34
29,3,1,6
30,3,2,7
31,3,3,8
32,3,4,9
33,3,5,10
34,3,6,11
35,3,7,16
36,3,8,17
37,3,9,18
38,3,10,19
39,3,11,22
40,3,12,23
41,3,13,25
42,4,1,4
43,4,2,5
44,4,3,10
45,4,4,11
46,4,5,12
47,4,6,13
48,4,7,16
49,4,8,17
50,4,9,19
51,5,1,2
52,5,2,4
