id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,4,24,,16,,,
2,5,8,17,,,,
3,23,26,,17,,,
4,21,10,18,,,,
5,13,19,,18,,,
6,17,2,19,,,,
7,29,14,,19,,,
8,9,18,,20,,,
9,1,22,20,,,,
10,28,15,,21,,,
11,11,16,21,,,,
12,25,31,,22,,,
13,7,30,22,,,,
14,27,3,,23,,,
15,12,6,23,,,,
16,20,,24,,,,
17,,,,24,,,
18,,,25,,,,
19,,,,25,,,
20,,,,26,,,
21,,,26,,,,
22,,,,27,,,
23,,,27,,,,
24,,,28,,,,
25,,,,28,,,
26,,,,29,,,
27,,,29,,,,
28,,,31,,,,
29,,,,31,,,
30,,,,,,,
31,,,,,,,
