"id","schedule_id","order_id","game_id"
1,1,1,6
3,1,3,8
2,1,2,7
4,1,4,9
5,1,5,10
6,1,6,11
7,1,7,16
8,1,8,17
9,1,9,18
10,1,10,19
11,1,11,22
12,1,12,23
14,2,1,6
13,1,13,25
16,2,3,8
15,2,2,7
17,2,4,9
18,2,5,10
19,2,6,15
20,2,7,16
21,2,8,17
22,2,9,18
23,2,10,21
24,2,11,22
26,3,1,1
25,2,12,24
28,3,3,3
27,3,2,2
29,3,4,4
30,3,5,5
31,3,6,6
32,3,7,7
33,3,8,8
34,4,1,8
36,4,3,10
37,4,4,11
35,4,2,9
38,4,5,12
39,4,6,13
40,4,7,14
41,4,8,15
42,4,9,20
43,4,10,21
44,4,11,22
45,4,12,23
46,4,13,26
48,4,15,29
47,4,14,27
49,5,1,1
50,5,2,2
51,5,3,3
52,5,4,4
53,5,5,5
54,5,6,6
57,6,3,12
58,7,1,19
59,7,2,20
60,7,3,21
61,7,4,22
62,7,5,23
63,7,6,24
64,8,1,15
66,8,3,17
65,8,2,16
67,8,4,18
68,9,1,6
71,12,1,27
69,10,1,15
70,11,1,25
72,13,1,21
73,14,1,25
74,15,1,8
55,6,2,7
56,6,1,8
