"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
7,25,36,22,,0,0,0
18,17,10,27,,0,0,0
8,27,18,,22,0,0,0
19,9,22,,28,0,0,0
9,8,3,23,,0,0,0
20,23,33,28,,3,0,
10,4,13,,23,3,0,0
25,28,2,,31,0,,
11,31,6,24,,0,0,0
26,15,5,31,,3,,
12,19,14,,24,1,,0
27,10,1,,32,0,,
28,23,22,32,,0,,
21,16,35,29,,3,,
22,36,18,,29,2,,
3,20,12,14,,3,0,0
4,33,26,,20,3,0,0
13,28,7,25,,3,0,0
31,15,2,,34,1,,
1,21,32,,6,0,0,0
14,20,2,,25,0,,0
2,19,29,12,,3,0,0
15,24,5,,26,1,0,0
32,22,1,34,,0,,
23,3,4,30,,3,,
5,35,11,,21,2,0,0
24,6,14,,30,0,,
16,15,30,26,,3,0,0
34,1,2,,36,3,,
6,16,32,21,,2,0,
29,16,36,33,,3,,
17,34,1,,27,0,0,0
30,3,14,,33,0,,
33,16,14,36,,1,,
35,16,2,,,3,0,0
36,14,1,,,1,0,0
