"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
10,6,25,18,,3,0,
11,21,2,,18,0,,
17,23,4,21,,3,0,
12,16,24,19,,2,0,
20,7,14,,23,3,,
13,17,13,,19,0,,0
21,23,8,23,,1,,
23,8,7,,25,0,,
18,6,2,22,,3,,
19,16,13,,22,1,,
22,6,13,25,,3,,
1,25,10,,10,2,0,0
2,11,21,11,,0,0,0
6,14,19,14,,3,0,0
7,15,12,,15,3,0,0
25,6,7,,,2,0,0
8,8,22,16,,3,0,0
24,13,8,,,2,0,0
3,2,3,,11,2,0,0
9,9,4,,17,0,0,0
4,24,5,,12,3,0,0
5,17,20,13,,3,0,0
14,14,1,,20,3,,0
15,7,15,20,,3,0,
16,8,18,,21,3,,0
