"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
6,17,2,19,,0,0,0
20,1,18,,26,1,,
21,16,28,26,,1,,
7,29,14,,19,0,0,0
16,20,4,24,,1,0,
22,21,31,,27,1,,
17,8,24,,24,0,,
23,12,3,27,,0,,
18,26,13,25,,0,,
26,16,1,,29,0,,
19,2,14,,25,1,,
27,3,21,29,,1,,
24,20,24,28,,1,,
29,3,1,,31,0,,
8,9,18,,20,0,0,0
9,1,22,20,,1,0,0
10,28,15,,21,1,0,0
25,13,2,,28,0,,
11,11,16,21,,0,0,0
12,25,31,,22,0,0,0
13,7,21,22,,0,0,0
28,20,2,31,,0,,
1,4,23,,16,1,0,0
2,10,8,17,,0,0,0
3,24,5,,17,1,0,0
4,30,26,18,,0,0,0
14,27,3,,23,0,0,0
5,13,19,,18,1,0,0
15,12,6,23,,1,0,0
31,2,1,,,1,0,0
30,20,3,,,0,0,0
