"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
13,26,4,,20,3,,
19,1,13,23,,3,0,
14,27,11,21,,1,0,
22,23,10,,25,2,,
15,8,21,,21,1,,0
23,1,25,25,,1,,
20,9,26,24,,0,,
25,25,23,,27,0,,
21,11,21,,24,1,,
24,26,21,27,,3,,
27,26,23,,,3,0,0
6,22,24,16,,1,0,0
26,21,25,,,3,0,0
7,15,5,,17,4,0,1
8,23,16,17,,3,0,0
1,14,6,,12,4,0,1
9,12,25,,18,1,0,0
2,26,2,13,,3,0,0
10,17,7,18,,2,0,0
3,19,4,,13,1,0,0
11,13,20,,19,3,0,0
4,11,18,,14,3,0,0
16,24,10,,22,0,,0
5,3,8,15,,0,0,0
17,23,15,22,,2,,
12,9,14,20,,2,0,
18,17,25,,23,0,,
