"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
18,24,19,,23,3,,
15,25,12,,21,0,,0
19,9,16,23,,3,0,
20,8,21,24,,3,,
21,11,12,,24,2,,
22,13,20,,25,0,,
23,9,24,25,,2,,
24,8,11,27,,3,,
25,9,20,,27,1,,
26,11,9,,,0,0,0
6,7,1,16,,1,0,0
27,8,20,,,3,0,0
1,17,27,,12,0,0,0
7,10,23,,17,3,0,0
2,3,2,13,,0,0,0
8,5,13,17,,0,0,0
3,22,21,,13,0,0,0
9,4,19,,18,0,0,0
4,18,15,,14,1,0,0
10,14,24,18,,0,0,0
5,6,25,15,,0,0,0
11,26,16,,19,1,0,0
12,8,27,20,,3,0,
16,1,20,,22,0,,0
13,2,21,,20,1,,
17,13,10,22,,3,,
14,11,15,21,,3,0,
