"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
22,23,11,25,,0,,
9,22,3,,17,1,0,0
14,7,18,,20,0,,0
15,24,12,20,,1,0,
16,10,21,,21,0,,0
17,17,22,21,,1,0,
1,20,25,,10,0,0,0
20,24,18,,23,0,,
2,23,15,11,,1,0,0
3,5,14,,11,0,0,0
21,17,21,23,,1,,
4,2,19,,12,0,0,0
5,4,8,13,,1,0,0
23,17,18,,25,1,,
10,9,25,18,,1,0,
11,23,14,,18,1,,
25,11,17,,,1,0,0
24,23,18,,,0,0,0
12,11,19,19,,1,0,
13,4,13,,19,1,,0
18,9,23,22,,0,,
6,16,7,14,,0,0,0
19,11,4,,22,1,,
7,12,1,,15,1,0,0
8,6,10,16,,0,0,0
