"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
16,3,17,21,,0,0,
19,21,26,23,,0,,
17,24,11,,22,0,,
20,7,20,,23,0,,
18,16,14,22,,1,0,
23,26,20,26,,2,,
21,17,1,,24,1,,
22,14,11,24,,3,,
24,14,1,,26,2,,
26,26,14,,,1,0,0
25,20,1,,,1,0,0
1,12,9,,11,3,0,0
2,25,13,12,,0,0,0
6,1,6,15,,3,0,0
3,4,26,,12,0,0,0
7,19,17,,16,1,0,0
4,18,7,,13,0,0,0
8,8,11,,17,1,0,0
5,2,20,14,,0,0,0
9,10,24,17,,0,0,0
11,21,12,19,,3,0,
10,14,15,,18,3,0,0
12,13,26,,19,0,,
15,1,22,,21,3,,0
13,5,7,20,,0,0,
14,20,23,,20,3,,0
