"id","group_id","round","main_score","sub1_score","sub2_score","sub3_score","sub4_score","sub5_score","elapsed_time","penalty","start_penalty","retire"
18,10,2,17.5,7.4,7.4,7.9,7.6,6.8,27.75,0,0,0
14,12,1,14.7,6.6,6.5,8.4,7.1,7,29.02,,0,0
13,10,1,17.7,6.7,6.8,8.5,7.2,7.3,27.52,,0,0
12,5,1,15.9,6.5,7,8.1,6.8,7.1,27.53,,0,0
11,11,1,16.1,6.9,6.9,8.3,7.4,6.8,25.68,,0,0
10,6,1,17,6.3,6.2,7.8,6.3,6.9,27.29,,0,0
9,9,1,13.3,6.4,5.6,7.4,6.5,6.8,29.99,,0,0
7,2,1,16.3,7.6,7.3,7.9,7,6.6,27.89,,0,0
8,13,1,14.4,5.4,5.5,7.6,5.8,5.9,25.72,,0,0
6,7,1,16,6.8,6.4,8.4,6.4,7,26.96,,0,0
4,14,1,12.8,3.4,3,5.6,3.8,4.2,33.67,,0,0
5,1,1,12.1,4.2,4.8,6.9,4.9,4.6,26.92,,0,0
2,4,1,8.7,5,3.8,6.3,5.4,4.5,24.67,,0,0
1,8,1,13,5.8,5.2,6.7,5.2,4.7,25.44,,0,0
3,3,1,14.5,5.1,5.9,7.3,6,6,27.01,,0,0
15,5,2,15.7,6.9,5.3,7.2,6.5,7,27.57,0,0,0
16,11,2,15.3,7,7,7.5,6.8,7.3,25.58,0,0,0
17,2,2,16.7,6.5,6.5,7.8,6.4,7.8,26.27,0,0,0
