"id","left_player_id","right_player_id","next_left_id","next_right_id","left_player_flag","left_retire","right_retire"
5,15,1,14,,0,0,0
15,8,13,,21,1,,0
16,3,11,21,,0,0,
11,23,16,19,,1,0,
17,21,18,,22,0,,
18,10,25,22,,0,0,
12,7,19,,19,1,,
13,20,5,20,,0,0,
21,11,8,,24,1,,
14,1,24,,20,0,,0
22,25,18,24,,1,,
19,23,7,23,,1,,
20,5,24,,23,1,,
6,26,8,15,,0,0,0
7,11,22,,16,1,0,0
24,25,11,,26,1,,
23,23,5,26,,0,,
8,2,18,,17,0,0,0
9,21,4,17,,1,0,0
10,6,25,,18,0,0,0
25,23,11,,,1,0,0
26,5,25,,,1,0,0
1,16,12,,11,1,0,0
2,14,7,12,,0,0,0
3,19,9,,12,1,0,0
4,17,5,,13,0,0,0
