id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,25,4,,14,,,
2,6,22,,16,,,
3,28,34,17,,,,
4,27,31,,18,,,
5,8,39,19,,,,
6,36,38,,20,,,
7,41,20,21,,,,
8,40,16,22,,,,
9,9,7,24,,,,
10,23,13,,25,,,
11,14,24,26,,,,
12,42,11,,27,,,
13,21,37,,29,,,
14,45,,30,,,,
15,33,1,,30,,,
16,17,,31,,,,
17,,18,,31,,,
18,12,,32,,,,
19,,3,,32,,,
20,26,,33,,,,
21,,15,,33,,,
22,,44,,34,,,
23,43,5,34,,,,
24,,32,,35,,,
25,35,,35,,,,
26,,10,,36,,,
27,2,,36,,,,
28,19,29,,37,,,
29,30,,37,,,,
30,,,38,,,,
31,,,,38,,,
32,,,39,,,,
33,,,,39,,,
34,,,,40,,,
35,,,40,,,,
36,,,,41,,,
37,,,41,,,,
38,,,42,,,,
39,,,,42,,,
40,,,,43,,,
41,,,43,,,,
42,,,45,,,,
43,,,,45,,,
44,,,,,,,
45,,,,,,,
