id,left_player_id,right_player_id,next_left_id,next_right_id,left_player_flag,left_retire,right_retire
1,3,20,,11,,,
2,36,8,,13,,,
3,33,11,14,,,,
4,31,27,,15,,,
5,29,22,18,,,,
6,19,23,19,,,,
7,7,1,,22,,,
8,15,38,23,,,,
9,30,26,,24,,,
10,16,21,,26,,,
11,41,,27,,,,
12,39,25,,27,,,
13,17,,28,,,,
14,,6,,28,,,
15,2,,29,,,,
16,37,12,,29,,,
17,5,35,30,,,,
18,,13,,30,,,
19,,28,,31,,,
20,18,42,31,,,,
21,14,34,,32,,,
22,32,,32,,,,
23,,4,,33,,,
24,10,,33,,,,
25,24,40,,34,,,
26,9,,34,,,,
27,,,35,,,,
28,,,,35,,,
29,,,36,,,,
30,,,,36,,,
31,,,,37,,,
32,,,37,,,,
33,,,,38,,,
34,,,38,,,,
35,,,39,,,,
36,,,,39,,,
37,,,,40,,,
38,,,40,,,,
39,,,42,,,,
40,,,,42,,,
41,,,,,,,
42,,,,,,,
