id,group_id,name,name_kana,mvp,zissen_man_player_id,zissen_man_rank_group,zissen_man_rank_lastyear,zissen_man_rank_total,zissen_man_comment,hokei_man_player_id,hokei_man_rank_group,hokei_man_rank_lastyear,hokei_man_rank_total,hokei_man_comment,zissen_woman_player_id,zissen_woman_rank_group,zissen_woman_rank_lastyear,zissen_woman_rank_total,zissen_woman_comment,hokei_woman_player_id,hokei_woman_rank_group,hokei_woman_rank_lastyear,hokei_woman_rank_total,hokei_woman_comment
1,1,金子拓豊,カネコヒロト,,1,2,,,,,,,,,,,,,,,,,,
2,1,間藤翼,マトウツバサ,,,,,,,1,2,,,,,,,,,,,,,
3,1,石名坂優太,イシナザカユウタ,,,,,,,,,,,,,,,,,,,,,
4,1,中村燈世,ナカムラトウセイ,,,,,,,2,3,,,,,,,,,,,,,
5,1,堀口元輝,ホリグチゲンキ,,,,,,,3,1,,,,,,,,,,,,,
6,1,堀野航平,ホリノコウヘイ,,2,1,,4,R8 さくら祭り大会個人実戦優勝,,,,,,,,,,,,,,,
7,1,山﨑晋,ヤマザキシン,,3,3,,,,,,,,,,,,,,,,,,
8,1,青野由芽,アオノユメ,,,,,,,,,,,,,,,,,1,2,,,
9,1,川田有珠,カワタアズ,,,,,,,,,,,,1,1,,5,R8 さくら祭り大会個人実戦準優勝,,,,,
10,1,佐々木柚葉,ササキユズハ,,,,,,,,,,,,,,,,,2,1,,,
11,1,藤越琴羽,フジコシコトハ,,,,,,,,,,,,,,,,,,,,,
12,1,青木元,アオキハジメ,,,,,,,,,,,,,,,,,,,,,
13,1,金丸大地,カナマルダイチ,,,,,,,,,,,,,,,,,,,,,
14,1,田代歩夢,タシロアユム,,,,,,,,,,,,,,,,,,,,,
15,1,福井雅人,フクイマサト,,,,,,,,,,,,,,,,,,,,,
16,1,山中優,ヤマナカスグル,,,,,,,,,,,,,,,,,,,,,
17,1,丸山伶,マルヤマレイ,,,,,,,,,,,,,,,,,,,,,
18,1,近嵐なつ葵,チカラシナツキ,,,,,,,,,,,,,,,,,3,3,,,
19,1,松居璃桜,マツイリオ,,,,,,,,,,,,,,,,,,,,,
20,1,三川幸,ミカワミユキ,,,,,,,,,,,,,,,,,,,,,
21,1,守谷奈穂,モリヤナホ,,,,,,,,,,,,,,,,,,,,,
22,1,井手ののか,イデノノカ,,,,,,,,,,,,,,,,,,,,,
23,1,大矢航汰,オオヤコウタ,,,,,,,,,,,,,,,,,,,,,
24,1,岡本珠々,オカモトスズ,,,,,,,,,,,,,,,,,,,,,
25,1,加藤真之介,カトウシンノスケ,,,,,,,,,,,,,,,,,,,,,
26,1,島貫祐兜,シマヌキヒロト,,,,,,,,,,,,,,,,,,,,,
27,1,鈴木晴也,スズキハルヤ,,,,,,,,,,,,,,,,,,,,,
28,1,武石佳子,タケイシカコ,,,,,,,,,,,,,,,,,,,,,
29,1,田中さら紗,タナカサラサ,,,,,,,,,,,,,,,,,,,,,
30,1,柗井友梨香,マツイユリカ,,,,,,,,,,,,,,,,,,,,,
31,1,丸山和馬,マルヤマカズマ,,,,,,,,,,,,,,,,,,,,,
32,1,毛利海咲,モウリミサキ,,,,,,,,,,,,,,,,,,,,,
33,1,吉田健人,ヨシダタケト,,,,,,,,,,,,,,,,,,,,,
34,2,伊澤空良,イザワソラ,,4,1,,,,4,1,,6,R8年度さくら祭り大会男子個人法形1位、R8年青森県大会男子個人法形1位,,,,,,,,,,
35,2,小松美稀,コマツミキ,,,,,,,,,,,,2,1,,,,4,1,,,
36,31,栗田陽祭,クリタヒマリ,,,,,,,,,,,,,,,,,5,1,,,Ｒ８宮城県大会個人法形準優勝
37,31,南部ゆらら,ナンブユララ,,,,,,,,,,,,,,,,,6,2,,,Ｒ８宮城県大会個人法形４位
38,32,戸井陽彩,ﾄｲヒイロ,,,,,,,,,,,,,,,,,7,1,,,
